employer,emp_count,median_salary,mean_salary,total_payroll
Helping Hands Orillia,4,102797.345,106622.5975,426490.39
Heritage Green Nursing Home,24,114787.5,117268.54166666667,2814445.0
Hia Harmony In Action Windsor,1,103974.0,103974.0,103974.0
Hiatus House,1,104362.92,104362.92,104362.92
Hiawatha First Nation,4,103855.5,127401.75,509607.0
Higher Education Quality Council Of Ontario,6,163219.21,177994.32833333334,1067965.97
Highland Shores Children’s Aid Society,25,116540.73,120645.634,3016140.85
Holland Bloorview Kids Rehabilitation Hospital,244,115933.53,137655.12778688525,33587851.18
Holland Christian Homes Inc,10,127511.8,132827.69300000003,1328276.9300000002
Home and Community Support Services Of Grey Bruce,1,108949.45,108949.45,108949.45
Homeward Family Shelter,1,124234.0,124234.0,124234.0
Hong Fook Mental Health Association,4,107544.255,118948.645,475794.58
Hope Place Centres,2,144583.735,144583.735,289167.47
Hopewell Support Services,3,103633.56,103913.13,311739.39
Hornepayne Community Hospital,8,125907.285,128964.74875,1031717.99
Horticultural Trades Association Inc (o/a Landscape Ontario),7,121846.14,131110.5,917773.5
Hospice Care Ottawa,4,108309.27,108235.44750000001,432941.79000000004
Hospice Georgian Triangle,3,110784.87,119541.56,358624.68
Hospice Huronia,1,120935.0,120935.0,120935.0
Hospice Niagara,3,134518.16,133499.55333333332,400498.66
Hospice Of Waterloo Region,3,133019.0,130151.33333333333,390454.0
Hospice Of Windsor and Essex County Inc,6,113692.98999999999,115051.555,690309.33
Hospice Palliative Care Ontario,2,129895.0,129895.0,259790.0
Hospice Peterborough,1,123710.61,123710.61,123710.61
Hospice Toronto,1,172620.0,172620.0,172620.0
Hospice of Mississauga Inc,2,154060.0,154060.0,308120.0
House Of Friendship,4,113646.14,128051.6075,512206.43
House Of Sophrosyne,1,137755.19,137755.19,137755.19
Houselink and Mainstay Community Housing,7,138720.06,140035.94857142857,980251.64
Hq Health Hub,2,193278.715,193278.715,386557.43
Human Rights Legal Support Centre,9,124048.33,125483.37444444446,1129350.37
Humana Community Services,1,144999.92,144999.92,144999.92
Humber College Institute Of Technology and Advanced Learning,1027,126341.8,127349.59262901655,130788031.63
Humber Meadows Long-Term Care Home,10,114707.08499999999,118809.629,1188096.29
Humber River Health,1236,118530.1,125033.10114886732,154540913.02
Huron Lodge Community Service Board Inc,2,136051.345,136051.345,272102.69
Huron Perth Healthcare Alliance,294,116281.64,123333.50547619048,36260050.61
Huron University College,83,127061.05,138808.13626506025,11521075.31
Huron-Perth Catholic District School Board,249,133299.09,132925.80891566267,33098526.42
Huron-Perth Centre For Children And Youth,2,116305.0,116305.0,232610.0
Huron-Perth Children’s Aid Society,16,121729.19,127821.334375,2045141.35
Huron-Superior Catholic District School Board,286,133343.48,134828.05751748252,38560824.45
Huronia Transition Homes,2,121490.235,121490.235,242980.47
Hôpital De Mattawa Hospital Inc.,27,121577.99,126434.25962962964,3413725.0100000002
Hôpital Montfort,515,115933.14,125697.45359223301,64734188.6
Hôpital Notre-dame Hospital (Hearst),36,122741.54,124814.70305555554,4493329.31
Hôtel-Dieu Grace Healthcare,244,117653.595,121783.22409836066,29715106.68
I B E W Local 804 Members Building Corporation,3,114029.36,124593.01333333335,373779.04000000004
I B E W Local Union 353,3,124632.76,124632.76,373898.27999999997
ICES (Institute For Clinical Evaluative Sciences),85,121231.61,136981.86764705883,11643458.75
IISD Experimental Lakes Area Inc,6,129105.31,147308.04,883848.24
Ibew 402 Training And Education Centre,1,141999.0,141999.0,141999.0
Iclei - Local Governments For Sustainability (Management) Inc,2,149033.42,149033.42,298066.84
Idlewyld Manor,13,119612.71,123167.36230769231,1601175.71
Ignite Behaviour Consulting Inc,1,123737.5,123737.5,123737.5
Immigrant Women Services Ottawa,1,117144.58,117144.58,117144.58
Ina Grafton Gage Home Toronto,4,108879.695,109224.10250000001,436896.41000000003
Inclusion Northumberland,1,110142.4,110142.4,110142.4
Independent Electricity System Operator,914,150797.555,155699.58663019695,142309422.18
Independent First Nations Alliance,14,125100.15,130283.27071428571,1823965.79
Independent Living Centre Of Waterloo Region,1,136552.33,136552.33,136552.33
Independent Living Services Of Simcoe County And Area,1,137507.9,137507.9,137507.9
Indian Associations Coordinating Committee Of Ontario Inc,2,100708.5,100708.5,201417.0
Indigenous Advanced Education And Skills Council,4,150283.0,148074.0,592296.0
Indigenous Affairs,94,120035.625,125445.46553191489,11791873.76
Indigenous Diabetes Health Circle,3,105594.73,115464.39,346393.17
Indigenous Institutes Consortium,1,214500.0,214500.0,214500.0
Indigenous Primary Health Care Council,3,154764.27,152847.99,458543.97
Indigenous Sport & Wellness Ontario,1,105575.04,105575.04,105575.04
Indus Community Services,6,124653.065,128471.84333333334,770831.06
Industry Education Council Of Hamilton,1,100626.4,100626.4,100626.4
Indwell Community Homes,7,115933.0,130637.14285714286,914460.0
Information And Privacy Commissioner,104,128254.45,152082.67153846152,15816597.84
Infrastructure,230,123270.88500000001,128575.9344347826,29572464.919999998
Infrastructure Health And Safety Association,109,119283.22,132905.88733944955,14486741.72
Ingamo Family Homes (Woodstock) Inc,1,105000.0,105000.0,105000.0
Ingersoll Support Services Inc,1,116889.3,116889.3,116889.3
Innovation Factory,4,129692.5,150189.25,600757.0
Innovation Initiatives Ontario North,1,117881.99,117881.99,117881.99
Innovative Community Support Services,8,152662.37,151872.98625000002,1214983.8900000001
Inspire Community Support Services,1,138488.84,138488.84,138488.84
Institute For Work and Health,15,121244.33,134901.99133333334,2023529.8699999999
Integrity Commissioner,12,112493.145,150811.50666666668,1809738.08
Intellectual Property Ontario,15,149615.4,156882.00666666668,2353230.1
Interactive Niagara Media Cluster (o/a NGEN),3,125294.69,134219.86,402659.57999999996
Interactive Ontario Industry Association,1,172012.03,172012.03,172012.03
Interior Finishing Systems Training Centre,12,134167.275,126686.67083333334,1520240.05
International Association Of Bridge Structural And Ornamental Iron Workers,2,126990.65,126990.65,253981.3
"International Association Of Bridge, Structural, Ornamental & Reinforcing Iron Workers Local 759",2,162557.175,162557.175,325114.35
International Association of Heat and Frost Insulators and Asbestos (Allied) Workers Local 95,2,136477.265,136477.265,272954.53
International Brotherhood Of Boilermakers,1,189746.16,189746.16,189746.16
International Brotherhood Of Electrical Workers Local 105 Home Association Inc,2,132433.84,132433.84,264867.68
International Brotherhood Of Electrical Workers Local 1687,3,135502.11,135904.79666666666,407714.39
International Union Of Operating Engineers,38,141610.58,139867.50631578948,5314965.24
Interval House,2,145132.0,145132.0,290264.0
Interval House Of Ottawa-Maison Interval D’ottawa,1,112203.18,112203.18,112203.18
Interval House of Hamilton,1,112222.5,112222.5,112222.5
Interwoven Connections,1,116184.85,116184.85,116184.85
"Inuuqatigiit Centre for Inuit Children, Youth and Families",4,109000.0,112750.0,451000.0
Invasive Species Centre (ISC),2,110744.89,110744.89,221489.78
Invest Ontario,25,167328.45,170940.1972,4273504.93
Invest Ottawa (2013),21,130171.5,137548.7723809524,2888524.22
Ioof Seniors Homes Inc,15,119082.82,126027.74133333334,1890416.12
Iron Workers Local 736 Training And Apprenticeship Centre,2,132783.24,132783.24,265566.48
Ironworkers Local 765 Training Centre Fund,3,181626.0,183238.66666666666,549716.0
Ismp Canada (Institute For Safe Medication Practices Canada),5,111692.3,150579.684,752898.42
Ivan Franko Homes,7,133069.0,130760.42857142857,915323.0
Jakes House For Autistic Children,2,180000.0,180000.0,360000.0
James Bay Association For Community Living,1,123505.14,123505.14,123505.14
James Bay Lowlands Secondary School Board,20,130933.38,131827.5435,2636550.87
Jean Tweed Treatment Centre,2,138231.415,138231.415,276462.83
Jessie’s The June Callwood Centre For Young Women,1,105932.75,105932.75,105932.75
Jewish Family Services Of Ottawa,2,114417.20999999999,114417.20999999999,228834.41999999998
Jewish Family and Child Service Of Greater Toronto,40,106259.68,117578.59,4703143.6
Jewish Vocational Service Of Metropolitan Toronto,7,131319.47,142459.16714285716,997214.17
John Howard Society Of Durham Region,1,120000.0,120000.0,120000.0
John Howard Society Of Hamilton Burlington and Area,1,122800.16,122800.16,122800.16
John Howard Society Of Kawartha Lakes and Haliburton,1,113397.75,113397.75,113397.75
John Howard Society Of Kingston,1,103813.0,103813.0,103813.0
John Howard Society Of London And District,1,117155.02,117155.02,117155.02
John Howard Society Of Niagara,1,116549.68,116549.68,116549.68
John Howard Society Of Ontario,5,127300.72,128179.00600000001,640895.03
John Howard Society Of Ottawa,5,106714.92,116174.76000000001,580873.8
John Howard Society Of Peel-Halton-Dufferin,1,100755.48,100755.48,100755.48
John Howard Society Of Thunder Bay and District,1,102433.8,102433.8,102433.8
John Howard Society Of Toronto,3,124334.5,120200.95,360602.85
John Howard Society Of Windsor And Essex County,1,115939.51,115939.51,115939.51
John Howard Society Of York Region,2,123141.5,123141.5,246283.0
John McGivney Children’s Centre,5,115099.56,121503.942,607519.71
John McGivney Children’s Centre School Authority,7,128046.8,128193.22714285714,897352.59
John Noble Home,9,108207.88,111792.88111111111,1006135.93
Joseph Brant Hospital,414,115561.715,124553.57695652173,51565180.86
K-W Habilitation Services,5,101499.0,113939.2,569696.0
Ka-Na-Chi-Hih Specialized Solvent Abuse Treatment Centre,4,108869.805,121453.255,485813.02
Kairos Community Resource Centre,1,117353.0,117353.0,117353.0
Kanata North Business Improvement Association,1,114000.0,114000.0,114000.0
Karis Disability Services,53,109447.32,128355.1354716981,6802822.18
Kawartha Family Court Assessment Mediation Service,1,106512.52,106512.52,106512.52
Kawartha Pine Ridge District School Board,1850,132603.89500000002,129250.54443243242,239113507.2
Kawartha Sexual Assault Centre,1,100000.0,100000.0,100000.0
Kawartha Turtle Trauma Centre,1,130475.58,130475.58,130475.58
Kawartha-Haliburton Children’s Aid Society,26,117976.375,123199.97538461538,3203199.36
Keewatin-Patricia District School Board,343,133113.22,130433.63979591838,44738738.45
Keewaytinook Okimakanak Northern Chiefs Council,11,120038.49,126252.27363636364,1388775.01
Kemptville Campus Education And Community Centre,1,106290.0,106290.0,106290.0
Kemptville District Hospital,32,121430.70000000001,127613.7128125,4083638.81
Kennedy House,1,161082.17,161082.17,161082.17
Kenora Association For Community Living,7,118356.38,147855.72,1034990.04
Kenora Catholic District School Board,116,132996.94,131360.43956896552,15237810.99
Kenora Chiefs Advisory Inc,14,115047.04000000001,138923.93142857144,1944935.04
Kenora District Services Board,82,115841.645,121041.17085365854,9925376.01
Kenora-Rainy River Districts Child And Family Services,14,117957.91,120251.63,1683522.82
Kensington Health Centre,18,105909.91,113419.12777777779,2041544.3
Kerry’s Place Autism Services,30,111013.4,121091.33633333333,3632740.09
Keystone Child Youth and Family Services,2,165958.685,165958.685,331917.37
Kids Help Phone,29,120978.16,162019.61172413794,4698568.74
Kids with Incarcerated Parents (KIP) Canada,1,126461.0,126461.0,126461.0
Kidsability Centre For Child Development,11,104553.39,116876.45272727273,1285640.98
Kidsability School Authority,7,127968.86,125387.52285714286,877712.66
Kina Gbezhgomi Child And Family Services,24,110348.53,114123.86499999999,2738972.76
Kinark Child And Family Services,70,116120.26000000001,126397.87700000001,8847851.39
Kingdom House Christian Centre,2,121530.5,121530.5,243061.0
Kingston Community Health Centres (KCHC),30,130684.215,145238.3646666667,4357150.94
Kingston Economic Development Corp (KEDCO),4,120709.0,128399.8175,513599.27
Kingston Health Sciences Centre,1468,117250.95999999999,125698.10908719346,184524824.14
Kingston Literacy and Skills,1,105365.0,105365.0,105365.0
Kingston and Frontenac Housing Corp,3,121931.61,136330.37666666668,408991.13
"Kingston, Frontenac And Lennox And Addington Health Unit",23,120848.0,138660.10695652175,3189182.46
King’s University College,137,146131.43,150696.33846715328,20645398.37
Kinoomaadziwin Education Body Inc,1,125903.92,125903.92,125903.92
Kitchener-Waterloo Multicultural Centre,1,101724.0,101724.0,101724.0
Knollcrest Lodge,4,118364.62,120823.8325,483295.33
Kristus Darzs Latvian Home,2,113542.175,113542.175,227084.35
Kunuwanimano Child And Family Services,15,109340.45,112542.49666666666,1688137.45
Kwayaciiwin Education Resource Centre,1,103610.21,103610.21,103610.21
La Cité Collegiale,229,123718.89,127518.23781659389,29201676.46
La Corporation Du Conseil Des Ministres De L’education Canada (CMEC),21,113859.39,127796.65142857144,2683729.68
Labdara Lithuanian Nursing Home,5,112881.72,111800.394,559001.97
"Labour, Immigration, Training and Skills Development",1139,115494.07,119669.10611940299,136303111.87
Labourers’ International Union Of North America Local 506,8,120244.26000000001,132504.3725,1060034.98
Labourers’ International Union of North America Local 1059 GE,7,112391.05,127224.02142857143,890568.15
Lac Seul First Nation,17,111070.96,114593.6511764706,1948092.07
Lac Seul Police Services Board Corp.,4,122734.0,140888.5,563554.0
Lady Dunn Health Centre,22,119526.17000000001,125588.8959090909,2762955.71
Lake Of The Woods District Hospital,107,118997.13,123715.0585046729,13237511.26
Lake Ridge Community Support Srvc,2,124558.63,124558.63,249117.26
Lake Simcoe Region Conservation Authority,32,123277.14,128651.30906249999,4116841.8899999997
Lakehead District School Board,527,132324.25,129544.56294117647,68269984.67
Lakehead Region Conservation Authority,1,135773.3,135773.3,135773.3
Lakehead University,408,148632.945,151953.95012254902,61997211.65
Lakeland Long Term Care Services Corporation,2,129212.525,129212.525,258425.05
Lakeridge Health,1677,117252.69,123520.22475849731,207143416.92
Lakeshore Area Multi-services Project Inc (LAMP),19,130233.93,161975.52210526317,3077534.92
Lambton College Of Applied Arts and Technology,171,126688.9,129289.80040935673,22108555.87
Lambton County Developmental Services,1,124248.8,124248.8,124248.8
Lambton Kent District School Board,1268,133789.44,131515.38089905362,166761502.98
Lanark County Interval House,1,108867.22,108867.22,108867.22
Lanark Leeds And Grenville Addictions And Mental Health,4,108438.935,115790.68,463162.72
Land O’Lakes Community Services,4,112438.75,112054.5475,448218.19
Langs Farm Village Association,22,127861.96,146689.70545454544,3227173.52
Lansdowne Children’s Centre,4,114154.0,128188.5,512754.0
Laubach Literacy Ontario,1,117767.24,117767.24,117767.24
Laurentian University Of Sudbury,292,149181.21500000003,147515.09188356163,43074406.83
Laurentis Energy Partners,73,139213.24,142485.61479452054,10401449.88
Law Enforcement Complaints Agency,29,122788.2,133288.7027586207,3865372.38
Le Cap : Centre d’appui et de prévention,8,116116.09,117725.32375,941802.59
Le Francais Pour L’Avenir/French For The Future,1,117198.51,117198.51,117198.51
Leads Employment Services London Inc,1,121491.42,121491.42,121491.42
Learning Enrichment Foundation,5,133939.0,145665.404,728327.02
Learning Place,1,130000.0,130000.0,130000.0
Leeds and Grenville Interval House,1,118067.74,118067.74,118067.74
Legal Aid Ontario,573,145107.57,144342.31115183246,82708144.29
Legislative Assembly,291,129682.9,134602.97240549827,39169464.97
Lennox And Addington County General Hospital,62,117113.07,131538.94822580644,8155414.79
Les Centres D’accueil Heritage,1,125864.79,125864.79,125864.79
Lieutenant Governor,8,121932.13500000001,138031.55625,1104252.45
Limestone District School Board,1079,128042.34,125595.32805375347,135517358.97
"Linck Child, Youth and Family Supports",31,113363.64,119741.04774193549,3711972.48
Links2care,4,103708.0,119504.25,478017.0
Liquor Control Board Of Ontario,1121,122943.49,135121.0354148082,151470680.7
Listowel Memorial Hospital,40,116687.965,117409.52350000001,4696380.94
Liuna Local 183 Training And Rehabilitation Fund,23,139563.6,155572.95608695652,3578177.9899999998
Livestock Research Innovation Corporation (LRIC),1,124465.0,124465.0,124465.0
Liveworkplay,2,107158.16,107158.16,214316.32
Local 120 Internat Brotherhoodof Electrical Workers,3,108644.16,115245.84000000001,345737.52
Local 2309 Ub Of C&J Of A,3,122630.9,121620.14,364860.42
Local 527 United Assn Plumbers & Steam Joint Training Fund,2,137823.6,137823.6,275647.2
Local 837 Nursing Home (Hamilton) Corp,7,107963.34,108913.63285714285,762395.4299999999
Loft Community Services,24,120420.45000000001,131111.18291666667,3146668.39
London Community Small Business Centre Inc,1,122001.0,122001.0,122001.0
London District Catholic School Board,1181,132249.11,129439.73966977138,152868332.55
London Family Court Clinic Inc,1,124999.94,124999.94,124999.94
London Health Sciences Centre,3083,114381.74,122746.73088550114,378428171.32
London Intercommunity Health Centre,19,125748.14,151329.44578947368,2875259.47
London Training Centre Inc,1,149327.08,149327.08,149327.08
Long-Term Care,413,122400.11,122580.05878934625,50625564.28
Lower Trent Region Conservation Authority,1,126223.45,126223.45,126223.45
Loyalist College Of Applied Arts and Technology,181,126689.04,130340.28707182322,23591591.96
Loyalist Township,40,119395.09,123937.4135,4957496.54
Luke’s Place Support and Resource Centre For Women and Children,2,127329.0,127329.0,254658.0
Lumacare Services,3,117849.72,136313.85,408941.55
Lumenus Community Services,27,123479.54,142379.8422222222,3844255.7399999998
Lutheran Community Care Centre Of Thunder Bay,5,106351.97,110204.50600000001,551022.53
Lutheran Homes Kitchener-Waterloo,8,107492.7,118615.785,948926.28
Lutherwood,18,119151.01999999999,122427.69555555556,2203698.52
Lynwood Charlton Centre,5,118073.44,125182.924,625914.62
L’Arche Sudbury Inc,1,105408.0,105408.0,105408.0
L’equipe D’hygiene Mentale Pour Francophones De S D et G Inc,1,105000.0,105000.0,105000.0
MaRS Discovery District,81,128582.48,150961.7662962963,12227903.07
Maamwesying North Shore Community Health Services,6,121820.5,162010.83333333334,972065.0
MacKay Manor Inc,2,140066.5,140066.5,280133.0
MacKenzie Health,1138,118039.31,125834.17202987698,143199287.77
Madame Vanier Children’s Services,4,119960.465,131503.23,526012.92
Madawaska Valley Association For Community Living,1,107177.1,107177.1,107177.1
Madison Community Services,1,115149.42,115149.42,115149.42
Magellan Community Care,1,100000.0,100000.0,100000.0
Maison Baldwin House,1,114186.12,114186.12,114186.12
Maison De Soins Palliatifs De Sudbury Hospice,7,109616.83,114562.27571428572,801935.93
Maison D’amitie,1,115000.0,115000.0,115000.0
Maison Interlude House Inc,1,113192.5,113192.5,113192.5
Maltby Centre,11,113058.03,123359.04545454546,1356949.5
Malvern Family Resource Centre,1,135000.0,135000.0,135000.0
"Mamaweswen, The North Shore Tribal Council Secretariat",1,102905.2,102905.2,102905.2
Manitoulin Family Resources Inc,1,132192.56,132192.56,132192.56
Manitoulin Health Centre,46,117842.575,122406.99,5630721.54
Manitoulin-Sudbury District Services Board,80,115105.78,117798.65849999999,9423892.68
March Of Dimes Canada,47,137471.41,148803.65425531915,6993771.75
Margaret’s Housing and Community Support Services Inc.,1,144999.92,144999.92,144999.92
Marianhill Inc,9,112491.0,118967.0,1070703.0
Marten Falls First Nation,8,115475.175,133367.67625,1066941.41
Mary Berglund Community Health Centre Hub,1,136149.0,136149.0,136149.0
Mary Centre,1,162442.0,162442.0,162442.0
Maryvale,5,117631.28,123292.054,616460.27
Matawa First Nations Management,36,123515.54000000001,145224.4411111111,5228079.88
Matawa Health Co-operative Inc,2,335676.69,335676.69,671353.38
Mathematics Of Information Technology And Complex Systems (MITACS) Inc,32,132037.55,136338.8971875,4362844.71
Matheson / Iroquois Falls / Cochrane Group Of Health Services,63,124094.86,126996.53936507937,8000781.98
Mattagami First Nation,1,109794.52,109794.52,109794.52
Max Ottawa Community Health,1,101057.8,101057.8,101057.8
Maxville Manor,6,106136.535,112729.7,676378.2
McCormick Home,9,133278.95,133147.23888888888,1198325.15
McMaster Divinity College,5,135082.36,148712.6,743563.0
McMaster University,1818,152727.68,165949.82228272827,301696776.91
McMichael Canadian Art Collection,6,112833.125,131377.70166666666,788266.21
Meals on Wheels (Ottawa),1,150499.04,150499.04,150499.04
Mediasmarts Habilomédias,1,151488.35,151488.35,151488.35
Medical Innovation Xchange,1,202440.0,202440.0,202440.0
Mennonite Brethern Senior Citizen Home,4,117596.01999999999,115505.4525,462021.81
Mennonite Disaster Service Canada Inc,1,109244.62,109244.62,109244.62
Mennonite New Life Centre Of Toronto,1,110140.44,110140.44,110140.44
Mental Health Connections,1,100935.75,100935.75,100935.75
Mental Health Program Services,1,106366.01,106366.01,106366.01
Meridian Spine And Joint Physiotherapy,2,106559.73000000001,106559.73000000001,213119.46000000002
Merit Openshop Contractors Association Of Ontario,5,130000.0,142472.652,712363.26
Merrymount Children’s Centre,2,123860.625,123860.625,247721.25
Meta Centre,4,111137.05,122601.7475,490406.99
Meta Vocational Services Inc,1,136815.05,136815.05,136815.05
Metis Nation Of Ontario Secretariat,18,122064.16,133288.53833333333,2399193.69
Metis Voyageur Development Fund Inc,4,147216.84999999998,151472.60499999998,605890.4199999999
Metro Labour Education Centre,2,111701.20000000001,111701.20000000001,223402.40000000002
Metrolinx,4276,127500.56,138627.6957787652,592772027.15
Metropolitan Toronto Convention Centre Corporation,54,121270.935,139656.87648148148,7541471.33
Michael Garron Hospital,682,120154.79000000001,128320.97934017595,87514907.91
Middlesex - London Health Unit,36,121269.66,132822.91249999998,4781624.85
Middlesex Community Living,3,106796.0,118828.8,356486.4
Mill Creek Care Centre,2,113019.715,113019.715,226039.43
Mills Community Support Corporation Inc,6,109337.79000000001,116747.53666666667,700485.22
Mind Forward Brain Injury Services Ontario,3,111632.71,111727.15000000001,335181.45
Mines,132,118502.75,123462.38181818182,16297034.4
Minwaashin Lodge - Indigenous Women’s Support Centre,3,117294.0,122744.92666666668,368234.78
Misiway Milopemahtesewin Community Health Centre,3,128420.6,127259.27,381777.81
Mission Services Of Hamilton Inc,5,110036.98,117141.63,585708.15
Mission Services Of London,2,115971.32,115971.32,231942.64
Mississauga Integrated Care Centre,10,126846.965,131493.88999999998,1314938.9
Mississauga Italian Canadian Benevolent Association,6,117086.0,123082.77666666667,738496.66
Mitaanjigamiing First Nation,2,118887.36,118887.36,237774.72
Miziwe Biik Development Corporation,2,138800.91999999998,138800.91999999998,277601.83999999997
Mnaasged Child And Family Services,1,111754.65,111754.65,111754.65
Mohawk College Of Applied Arts and Technology,594,124077.245,126956.73412457912,75412300.07
Mohawk Council Of Akwesasne,9,124282.76,128867.51777777777,1159807.66
Mohawks Of The Bay Of Quinte,15,109840.0,111012.484,1665187.26
Momiji Health Care Society,1,136897.0,136897.0,136897.0
Mon Sheong Foundation,27,128239.24,137678.35703703703,3717315.64
Monarch Recovery Services,1,130648.87,130648.87,130648.87
Montage Support Services,6,120612.92,125966.46333333333,755798.78
Montfort Renaissance Inc,8,124132.35999999999,151487.12625,1211897.01
Mood Disorders Association Of Ontario And Toronto,1,128600.16,128600.16,128600.16
Moose Cree First Nation,2,113094.83,113094.83,226189.66
Moose Deer Point First Nation,1,121624.62,121624.62,121624.62
Moose Factory Island District School Area Board,3,126487.0,129539.33333333333,388618.0
Moosonee District School Area Board,15,112562.45,118787.43000000001,1781811.4500000002
Mount Nemo Christian Nursing Home,1,103867.22,103867.22,103867.22
Moyo Health and Community Services,1,118454.0,118454.0,118454.0
Multicultural Council Of Windsor and Essex County,3,128519.48,122070.22333333333,366210.67
Multilingual Community Interpreter Services (MCIS),7,160064.38,144269.25714285715,1009884.8
Municipal Affairs and Housing,275,125237.54,127182.79090909091,34975267.5
Municipal Finance Officers Association,9,151704.0,147654.44444444444,1328890.0
Municipal Property Assessment Corporation,502,114472.475,127423.528187251,63966611.15
Municipality Of Arran-Elderslie,4,107294.925,107406.7625,429627.05
Municipality Of Bayham,8,125947.10500000001,132999.005,1063992.04
Municipality Of Bluewater,8,128076.67,134892.64250000002,1079141.1400000001
Municipality Of Brighton,22,118585.4,125560.93454545455,2762340.56
Municipality Of Brockton,9,117237.56,132012.0422222222,1188108.38
Municipality Of Brooke-Alvinston,1,109996.6,109996.6,109996.6
Municipality Of Callander,5,116256.69,120312.818,601564.09
Municipality Of Calvin,1,110961.53,110961.53,110961.53
Municipality Of Central Elgin,13,117987.6,124059.16923076923,1612769.2
Municipality Of Central Huron,7,109433.95,114216.54000000001,799515.78
Municipality Of Central Manitoulin,3,101813.61,103998.68333333333,311996.05
Municipality Of Centre Hastings,4,127878.70999999999,128146.765,512587.06
Municipality Of Chatham-Kent,392,122736.095,129430.96742346938,50736939.23
Municipality Of Clarington,155,123592.03,132046.02703225808,20467134.19
Municipality Of Dutton-Dunwich,4,116223.495,123584.9075,494339.63
Municipality Of Dysart Et Al,8,120720.82,123851.125,990809.0
Municipality Of East Ferris,3,149711.9,153037.68333333332,459113.05
Municipality Of Faraday,3,104336.96,104456.91666666667,313370.75
Municipality Of French River,2,130669.98499999999,130669.98499999999,261339.96999999997
Municipality Of Gordon/Barrie Island,1,100000.0,100000.0,100000.0
Municipality Of Greenstone,7,126863.79,127048.9842857143,889342.89
Municipality Of Grey Highlands,8,119888.13500000001,129697.18,1037577.44
Municipality Of Hastings Highlands,6,108885.68,113731.17666666668,682387.06
Municipality Of Highlands East,6,107435.285,112489.19666666667,674935.18
Municipality Of Huron East,8,124124.12,128082.75125,1024662.01
Municipality Of Huron Shores,1,104648.96,104648.96,104648.96
Municipality Of Killarney,1,114134.94,114134.94,114134.94
Municipality Of Kincardine,20,123751.345,127988.522,2559770.44
Municipality Of Lambton Shores,6,130106.225,137178.14,823068.8400000001
Municipality Of Leamington,46,122270.18,126744.63152173912,5830253.05
Municipality Of Magnetawan,3,110129.95,115354.10666666667,346062.32
Municipality Of Markstay-Warren,1,119549.22,119549.22,119549.22
Municipality Of Marmora And Lake,2,112907.855,112907.855,225815.71
Municipality Of McDougall,8,120426.5,127725.25,1021802.0
Municipality Of Meaford,12,116382.0,123420.08333333333,1481041.0
Municipality Of Middlesex Centre,15,120335.63,131939.49733333333,1979092.46
Municipality Of Mississippi Mills,15,117899.63,126283.75866666666,1894256.38
Municipality Of Morris-Turnberry,4,120236.86499999999,123610.295,494441.18
Municipality Of Neebing,1,103894.59,103894.59,103894.59
Municipality Of North Grenville,18,119270.845,123635.50222222222,2225439.04
Municipality Of North Middlesex,5,114189.65,119736.048,598680.24
Municipality Of North Perth,23,128202.98,132130.64565217393,3039004.85
Municipality Of Northern Bruce Peninsula,7,139238.13,139937.4,979561.8
Municipality Of Oliver Paipoonge,4,139365.74,136177.18,544708.72
Municipality Of Port Hope,33,121459.5,125463.22242424241,4140286.34
Municipality Of Port Hope Police Services Board,21,134327.03,139239.91333333333,2924038.1799999997
Municipality Of Powassan,2,108108.105,108108.105,216216.21
Municipality Of Red Lake,3,118718.43,126195.77333333332,378587.31999999995
Municipality Of Shuniah,3,126246.64,127832.76000000001,383498.28
Municipality Of Sioux Lookout,12,124069.495,132776.95166666666,1593323.42
Municipality Of South Bruce,5,112518.44,127793.23799999998,638966.19
Municipality Of South Dundas,8,111908.705,118677.2925,949418.34
Municipality Of South Huron,9,122763.19,130840.93555555555,1177568.42
Municipality Of Southwest Middlesex,3,115011.4,114471.41666666667,343414.25
Municipality Of Temagami,1,101390.15,101390.15,101390.15
Municipality Of Thames Centre,9,131045.98,131452.9877777778,1183076.8900000001
Municipality Of Trent Hills,10,111667.095,117877.946,1178779.46
Municipality Of Trent Lakes,7,119266.59,129562.03285714285,906934.23
Municipality Of Tweed,1,130199.45,130199.45,130199.45
Municipality Of Wawa,4,105883.55,119671.4425,478685.77
Municipality Of West Elgin,2,140518.29,140518.29,281036.58
Municipality Of West Grey,22,117290.06,123669.22590909092,2720722.97
Municipality Of West Nipissing,18,123161.09,136094.77666666667,2449705.98
Municipality Of West Perth,7,125266.53,127304.98,891134.86
Municipality Of Whitestone,4,117956.075,126872.7825,507491.13
Municipality of Casselman,6,119950.715,121213.26166666667,727279.5700000001
Municipality of Port Hope Public Library Board,1,125187.68,125187.68,125187.68
Murray McKinnon Foundation,3,130609.02,139681.06666666668,419043.2
Mushkegowuk Council,2,112262.435,112262.435,224524.87
Muskoka Algonquin Healthcare,194,117183.91,121489.91525773195,23569043.56
Muskoka Ambulance Service C A C C,11,111644.0,111823.90909090909,1230063.0
Muskoka Women’s Advocacy Group,1,118147.6,118147.6,118147.6
Naicatchewenin First Nation,2,113700.255,113700.255,227400.51
Nan Corporate Services,10,121025.45000000001,118832.11899999999,1188321.19
Naotkamegwanning First Nation,11,110782.79,117507.36727272728,1292581.04
